p1,p2,p3,SIZE,SIZE^3,非重複数,重複要素数,重複率,非重複数（mod S^3 * 3）,重複数（mod S^3 *3）,重複率（mod S^3 * 3）
7,401,211,100,1000000,53140,946860,94.686,53140,946860,94.686
7,401,307,100,1000000,69018,930982,93.0982,69018,930982,93.0982
7,401,503,100,1000000,88380,911620,91.162,88380,911620,91.162
7,401,601,100,1000000,97578,902422,90.2422,97578,902422,90.2422
7,401,701,100,1000000,106128,893872,89.3872,106128,893872,89.3872
7,401,809,100,1000000,39502,960498,96.0498,39502,960498,96.0498
7,401,907,100,1000000,115102,884898,88.4898,115102,884898,88.4898
7,401,991,100,1000000,128782,871218,87.1218,128782,871218,87.1218
7,401,997,100,1000000,135178,864822,86.4822,135178,864822,86.4822
7,401,1009,100,1000000,136546,863454,86.3454,136546,863454,86.3454
7,401,1511,100,1000000,180484,819516,81.9516,180484,819516,81.9516
7,401,1999,100,1000000,230518,769482,76.9482,230518,769482,76.9482
7,401,2003,100,1000000,228682,771318,77.1318,228682,771318,77.1318
7,401,2503,100,1000000,279460,720540,72.054,279460,720540,72.054
7,401,3001,100,1000000,326764,673236,67.3236,326764,673236,67.3236
7,401,4001,100,1000000,416704,583296,58.3296,416704,583296,58.3296
7,401,5003,100,1000000,397090,602910,60.291,397090,602910,60.291
7,401,6007,100,1000000,602530,397470,39.747,602530,397470,39.747
7,401,7001,100,1000000,439858,560142,56.0142,439858,560142,56.0142
7,401,8009,100,1000000,757462,242538,24.2538,757462,242538,24.2538
7,401,9001,100,1000000,859156,140844,14.0844,859156,140844,14.0844
7,401,10007,100,1000000,913432,86568,8.6568,906538,93462,9.3462
7,503,11,100,1000000,51520,948480,94.848,51520,948480,94.848
7,503,13,100,1000000,51706,948294,94.8294,51706,948294,94.8294
7,503,101,100,1000000,59886,940114,94.0114,59886,940114,94.0114
7,503,199,100,1000000,67492,932508,93.2508,67492,932508,93.2508
7,503,211,100,1000000,70320,929680,92.968,70320,929680,92.968
7,503,307,100,1000000,77304,922696,92.2696,77304,922696,92.2696
7,503,401,100,1000000,88380,911620,91.162,88380,911620,91.162
7,503,601,100,1000000,94972,905028,90.5028,94972,905028,90.5028
7,503,701,100,1000000,112746,887254,88.7254,112746,887254,88.7254
7,503,809,100,1000000,127122,872878,87.2878,127122,872878,87.2878
7,503,907,100,1000000,135984,864016,86.4016,135984,864016,86.4016
